millis,dist_raw,dist_filtered,water_height,setpoint,pid_val
3.13,49.50,25.92,41.08,0.50,0.00
3.24,49.50,28.53,38.47,0.50,0.00
3.34,49.50,31.08,35.92,0.50,0.00
3.44,49.50,33.55,33.45,0.50,0.00
3.54,49.50,35.89,31.11,0.50,0.00
3.64,48.60,38.08,28.92,0.50,0.27
3.74,48.60,40.10,26.90,0.50,0.30
3.84,49.50,41.92,25.08,0.50,0.32
3.95,48.60,43.55,23.45,0.50,0.34
4.04,49.50,44.96,22.04,0.50,0.36
4.14,48.60,46.17,20.83,0.50,0.38
4.25,48.60,47.17,19.83,0.50,0.39
4.35,48.60,47.98,19.02,0.50,0.41
4.45,48.60,48.62,18.38,0.50,0.42
4.55,49.10,49.09,17.91,0.50,0.42
4.65,48.60,49.42,17.58,0.50,0.43
4.75,48.60,49.64,17.36,0.50,0.43
4.85,48.60,49.76,17.24,0.50,0.43
4.96,48.60,49.80,17.20,0.50,0.43
5.05,48.60,49.79,17.21,0.50,0.44
5.16,48.60,49.74,17.26,0.50,0.44
5.26,48.60,49.67,17.33,0.50,0.44
5.36,48.60,49.59,17.41,0.50,0.44
5.46,48.60,49.51,17.49,0.50,0.44
5.56,48.60,49.44,17.56,0.50,0.43
5.66,48.60,49.38,17.62,0.50,0.43
5.76,48.70,49.33,17.67,0.50,0.44
5.86,48.60,49.29,17.71,0.50,0.44
5.97,48.60,49.26,17.74,0.50,0.44
6.06,48.70,49.24,17.76,0.50,0.44
6.17,48.60,49.22,17.78,0.50,0.44
6.27,48.60,49.20,17.80,0.50,0.44
6.37,48.60,49.18,17.82,0.50,0.44
6.47,48.60,49.16,17.84,0.50,0.44
6.57,48.60,49.13,17.87,0.50,0.44
6.67,48.60,49.10,17.90,0.50,0.44
6.77,48.60,49.08,17.92,0.50,0.44
6.87,48.60,49.05,17.95,0.50,0.44
6.98,48.60,49.02,17.98,0.50,0.44
7.07,48.60,48.98,18.02,0.50,0.44
7.17,48.60,48.95,18.05,0.50,0.44
7.28,48.60,48.92,18.08,0.50,0.44
7.38,48.60,48.89,18.11,0.50,0.44
7.48,48.70,48.86,18.14,0.50,0.44
7.58,48.70,48.83,18.17,0.50,0.44
7.68,48.60,48.80,18.20,0.50,0.44
7.78,48.70,48.78,18.22,0.50,0.44
7.89,48.60,48.76,18.24,0.50,0.44
7.98,48.70,48.73,18.27,0.50,0.44
8.08,48.60,48.72,18.28,0.50,0.44
8.19,48.60,48.70,18.30,0.50,0.45
8.29,48.60,48.69,18.31,0.50,0.45
8.39,48.20,48.67,18.33,0.50,0.45
8.49,48.20,48.66,18.34,0.50,0.45
8.59,48.20,48.66,18.34,0.50,0.45
8.69,48.60,48.65,18.35,0.50,0.45
8.79,48.60,48.65,18.35,0.50,0.45
8.90,48.60,48.64,18.36,0.50,0.45
8.99,48.20,48.64,18.36,0.50,0.45
9.09,48.60,48.64,18.36,0.50,0.45
9.20,48.60,48.64,18.36,0.50,0.45
9.30,48.60,48.64,18.36,0.50,0.45
9.40,48.20,48.64,18.36,0.50,0.45
9.50,48.60,48.64,18.36,0.50,0.45
9.60,48.20,48.64,18.36,0.50,0.46
9.70,48.20,48.64,18.36,0.50,0.46
9.80,48.20,48.64,18.36,0.50,0.46
9.91,48.20,48.64,18.36,0.50,0.46
10.00,48.20,48.64,18.36,0.50,0.46
10.10,48.20,48.64,18.36,0.50,0.46
10.21,48.60,48.64,18.36,0.50,0.46
10.31,48.60,48.63,18.37,0.50,0.46
10.41,48.60,48.63,18.37,0.50,0.46
10.51,48.60,48.63,18.37,0.50,0.46
10.61,48.60,48.62,18.38,0.50,0.46
10.71,48.60,48.61,18.39,0.50,0.46
10.81,48.60,48.61,18.39,0.50,0.46
10.92,48.60,48.60,18.40,0.50,0.46
11.01,48.70,48.59,18.41,0.50,0.47
11.11,48.60,48.58,18.42,0.50,0.47
11.21,48.60,48.57,18.43,0.50,0.47
11.32,48.60,48.56,18.44,0.50,0.47
11.42,48.60,48.54,18.46,0.50,0.47
11.52,48.60,48.53,18.47,0.50,0.47
11.62,48.60,48.52,18.48,0.50,0.47
11.72,48.60,48.51,18.49,0.50,0.47
11.82,48.70,48.50,18.50,0.50,0.47
11.93,48.60,48.48,18.52,0.50,0.47
12.02,48.60,48.47,18.53,0.50,0.47
12.12,48.60,48.47,18.53,0.50,0.47
12.22,48.60,48.46,18.54,0.50,0.47
12.33,48.60,48.45,18.55,0.50,0.47
12.43,48.20,48.45,18.55,0.50,0.47
12.53,48.20,48.45,18.55,0.50,0.48
12.63,48.20,48.45,18.55,0.50,0.48
12.73,48.20,48.45,18.55,0.50,0.48
12.83,48.20,48.45,18.55,0.50,0.48
12.94,48.20,48.46,18.54,0.50,0.48
13.03,48.20,48.46,18.54,0.50,0.48
13.13,48.20,48.47,18.53,0.50,0.48
13.23,48.20,48.48,18.52,0.50,0.48
13.34,48.20,48.50,18.50,0.50,0.48
13.44,48.20,48.51,18.49,0.50,0.48
13.54,48.70,48.52,18.48,0.50,0.48
13.64,48.20,48.53,18.47,0.50,0.48
13.74,48.20,48.55,18.45,0.50,0.49
13.84,48.20,48.56,18.44,0.50,0.49
13.95,48.20,48.57,18.43,0.50,0.49
14.04,48.20,48.58,18.42,0.50,0.49
14.14,48.20,48.59,18.41,0.50,0.49
14.24,48.20,48.59,18.41,0.50,0.49
14.35,48.20,48.59,18.41,0.50,0.49
14.45,48.20,48.59,18.41,0.50,0.49
14.55,48.20,48.59,18.41,0.50,0.49
14.65,48.20,48.58,18.42,0.50,0.49
14.75,48.20,48.57,18.43,0.50,0.49
14.85,48.20,48.56,18.44,0.50,0.49
14.96,48.20,48.55,18.45,0.50,0.49
15.05,48.20,48.53,18.47,0.50,0.50
15.15,48.20,48.51,18.49,0.50,0.50
15.26,48.60,48.50,18.50,0.50,0.50
15.36,48.60,48.48,18.52,0.50,0.50
15.46,48.60,48.45,18.55,0.50,0.50
15.56,48.60,48.43,18.57,0.50,0.50
15.66,48.60,48.41,18.59,0.50,0.50
15.76,48.60,48.39,18.61,0.50,0.50
15.86,48.60,48.37,18.63,0.50,0.50
15.97,48.20,48.36,18.64,0.50,0.50
16.06,48.60,48.34,18.66,0.50,0.50
16.16,49.10,48.32,18.68,0.50,0.50
16.27,48.60,48.31,18.69,0.50,0.50
16.37,48.60,48.30,18.70,0.50,0.50
16.47,48.60,48.28,18.72,0.50,0.50
16.57,48.70,48.28,18.72,0.50,0.50
16.67,48.70,48.27,18.73,0.50,0.50
16.77,48.70,48.26,18.74,0.50,0.50
16.87,48.60,48.26,18.74,0.50,0.51
16.98,48.60,48.26,18.74,0.50,0.51
17.07,49.90,48.26,18.74,0.50,0.51
17.17,49.00,48.26,18.74,0.50,0.51
17.27,49.00,48.27,18.73,0.50,0.51
17.38,49.90,48.27,18.73,0.50,0.51
17.48,49.90,48.28,18.72,0.50,0.51
17.58,49.50,48.29,18.71,0.50,0.51
17.68,49.00,48.31,18.69,0.50,0.51
17.78,48.20,48.32,18.68,0.50,0.51
17.88,48.20,48.34,18.66,0.50,0.51
17.99,48.60,48.35,18.65,0.50,0.52
18.08,48.60,48.37,18.63,0.50,0.52
18.18,48.20,48.39,18.61,0.50,0.52
18.29,48.20,48.41,18.59,0.50,0.52
18.39,48.20,48.44,18.56,0.50,0.52
18.49,48.60,48.46,18.54,0.50,0.52
18.59,48.60,48.49,18.51,0.50,0.52
18.69,48.20,48.52,18.48,0.50,0.52
18.79,48.20,48.55,18.45,0.50,0.52
18.90,48.60,48.58,18.42,0.50,0.53
18.99,48.10,48.62,18.38,0.50,0.53
19.09,49.00,48.65,18.35,0.50,0.53
19.19,51.20,48.68,18.32,0.50,0.53
19.30,50.70,48.72,18.28,0.50,0.53
19.40,50.30,48.75,18.25,0.50,0.53
19.50,50.70,48.78,18.22,0.50,0.53
19.60,51.20,48.80,18.20,0.50,0.53
19.70,51.20,48.83,18.17,0.50,0.53
19.80,49.00,48.85,18.15,0.50,0.54
19.91,50.30,48.86,18.14,0.50,0.54
20.00,50.30,48.87,18.13,0.50,0.54
20.10,50.70,48.88,18.12,0.50,0.54
20.20,50.70,48.88,18.12,0.50,0.54
20.30,51.10,48.87,18.13,0.50,0.54
20.41,50.30,48.87,18.13,0.50,0.54
20.51,50.30,48.86,18.14,0.50,0.54
20.61,51.20,48.85,18.15,0.50,0.54
20.71,51.10,48.84,18.16,0.50,0.54
20.81,50.70,48.83,18.17,0.50,0.54
20.92,51.20,48.83,18.17,0.50,0.54
21.01,50.80,48.83,18.17,0.50,0.54
21.11,50.70,48.83,18.17,0.50,0.55
21.21,50.80,48.85,18.15,0.50,0.55
21.32,50.30,48.87,18.13,0.50,0.55
21.42,50.70,48.90,18.10,0.50,0.55
21.52,50.30,48.94,18.06,0.50,0.55
21.62,50.30,49.00,18.00,0.50,0.55
21.72,50.30,49.06,17.94,0.50,0.55
21.82,50.70,49.13,17.87,0.50,0.55
21.93,49.90,49.22,17.78,0.50,0.56
22.02,51.20,49.31,17.69,0.50,0.56
22.12,51.20,49.41,17.59,0.50,0.56
22.22,50.70,49.51,17.49,0.50,0.56
22.32,50.30,49.62,17.38,0.50,0.57
22.43,50.30,49.73,17.27,0.50,0.57
22.53,50.30,49.84,17.16,0.50,0.57
22.63,50.30,49.95,17.05,0.50,0.57
22.73,49.80,50.06,16.94,0.50,0.57
22.83,50.30,50.16,16.84,0.50,0.58
22.94,49.90,50.25,16.75,0.50,0.58
23.03,51.20,50.33,16.67,0.50,0.58
23.13,50.30,50.41,16.59,0.50,0.58
23.23,50.30,50.48,16.52,0.50,0.58
23.34,49.90,50.54,16.46,0.50,0.59
23.44,49.80,50.59,16.41,0.50,0.59
23.54,50.30,50.63,16.37,0.50,0.59
23.64,50.30,50.66,16.34,0.50,0.59
23.74,50.30,50.68,16.32,0.50,0.59
23.84,50.30,50.69,16.31,0.50,0.59
23.95,49.50,50.70,16.30,0.50,0.59
24.04,49.90,50.70,16.30,0.50,0.59
24.14,49.50,50.70,16.30,0.50,0.59
24.24,49.90,50.69,16.31,0.50,0.59
24.34,49.10,50.68,16.32,0.50,0.60
24.45,49.90,50.67,16.33,0.50,0.60
24.55,49.90,50.65,16.35,0.50,0.60
24.65,49.90,50.63,16.37,0.50,0.60
24.75,49.50,50.62,16.38,0.50,0.60
24.85,49.90,50.60,16.40,0.50,0.60
24.96,50.40,50.58,16.42,0.50,0.60
25.05,50.80,50.56,16.44,0.50,0.60
25.15,49.10,50.53,16.47,0.50,0.60
25.25,49.90,50.51,16.49,0.50,0.60
25.36,49.10,50.49,16.51,0.50,0.60
25.46,49.50,50.46,16.54,0.50,0.60
25.56,49.90,50.44,16.56,0.50,0.60
25.66,49.50,50.41,16.59,0.50,0.60
25.76,49.50,50.38,16.62,0.50,0.60
25.86,49.50,50.36,16.64,0.50,0.60
25.97,49.10,50.33,16.67,0.50,0.60
26.06,50.30,50.30,16.70,0.50,0.60
26.16,49.90,50.27,16.73,0.50,0.60
26.26,49.90,50.24,16.76,0.50,0.61
26.36,50.30,50.21,16.79,0.50,0.61
26.47,50.30,50.18,16.82,0.50,0.61
26.57,51.10,50.15,16.85,0.50,0.61
26.67,49.90,50.12,16.88,0.50,0.61
26.77,49.50,50.09,16.91,0.50,0.61
26.87,50.30,50.06,16.94,0.50,0.61
26.98,49.90,50.03,16.97,0.50,0.61
27.07,49.90,50.00,17.00,0.50,0.61
27.17,50.70,49.97,17.03,0.50,0.61
27.27,50.30,49.94,17.06,0.50,0.61
27.38,50.30,49.92,17.08,0.50,0.61
27.48,49.50,49.90,17.10,0.50,0.61
27.58,49.90,49.88,17.12,0.50,0.61
27.68,50.30,49.86,17.14,0.50,0.61
27.78,49.50,49.84,17.16,0.50,0.61
27.88,49.90,49.83,17.17,0.50,0.61
27.99,50.30,49.82,17.18,0.50,0.61
28.08,50.30,49.81,17.19,0.50,0.61
28.18,49.90,49.80,17.20,0.50,0.61
28.28,49.50,49.80,17.20,0.50,0.62
28.39,49.50,49.80,17.20,0.50,0.62
28.49,50.70,49.81,17.19,0.50,0.62
28.59,50.30,49.82,17.18,0.50,0.62
28.69,50.30,49.83,17.17,0.50,0.62
28.79,50.30,49.84,17.16,0.50,0.62
28.89,50.70,49.86,17.14,0.50,0.62
29.00,50.30,49.88,17.12,0.50,0.62
29.09,49.90,49.90,17.10,0.50,0.62
29.19,49.50,49.92,17.08,0.50,0.62
29.29,50.70,49.94,17.06,0.50,0.63
29.39,50.30,49.96,17.04,0.50,0.63
29.50,50.30,49.98,17.02,0.50,0.63
29.60,50.30,49.99,17.01,0.50,0.63
29.70,50.70,50.01,16.99,0.50,0.63
29.80,50.30,50.03,16.97,0.50,0.63
29.91,50.30,50.04,16.96,0.50,0.63
30.00,49.90,50.05,16.95,0.50,0.63
30.10,50.70,50.06,16.94,0.50,0.63
30.20,50.70,50.07,16.93,0.50,0.63
30.30,49.80,50.08,16.92,0.50,0.63
30.41,50.70,50.09,16.91,0.50,0.64
30.51,50.30,50.09,16.91,0.50,0.64
30.61,49.90,50.09,16.91,0.50,0.64
30.71,49.90,50.10,16.90,0.50,0.64
30.81,49.90,50.10,16.90,0.50,0.64
30.92,50.30,50.10,16.90,0.50,0.64
31.01,50.30,50.11,16.89,0.50,0.64
31.11,49.00,50.11,16.89,0.50,0.64
31.21,50.70,50.12,16.88,0.50,0.64
31.31,50.70,50.13,16.87,0.50,0.64
31.41,49.90,50.14,16.86,0.50,0.64
31.52,49.90,50.15,16.85,0.50,0.65
31.62,50.30,50.16,16.84,0.50,0.65
31.72,49.50,50.18,16.82,0.50,0.65
31.82,50.30,50.19,16.81,0.50,0.65
31.93,49.90,50.21,16.79,0.50,0.65
32.02,49.90,50.22,16.78,0.50,0.65
32.12,51.10,50.24,16.76,0.50,0.65
32.22,50.30,50.25,16.75,0.50,0.65
32.32,50.30,50.26,16.74,0.50,0.65
32.42,50.30,50.27,16.73,0.50,0.65
32.53,50.70,50.28,16.72,0.50,0.66
32.63,51.10,50.29,16.71,0.50,0.66
32.73,50.30,50.29,16.71,0.50,0.66
32.83,51.20,50.29,16.71,0.50,0.66
32.94,50.30,50.29,16.71,0.50,0.66
33.03,50.30,50.29,16.71,0.50,0.66
33.13,50.30,50.28,16.72,0.50,0.66
33.23,50.30,50.27,16.73,0.50,0.66
33.33,49.50,50.26,16.74,0.50,0.66
33.44,49.90,50.25,16.75,0.50,0.66
33.54,49.90,50.24,16.76,0.50,0.66
33.64,49.90,50.23,16.77,0.50,0.66
33.74,49.90,50.22,16.78,0.50,0.66
33.84,49.50,50.21,16.79,0.50,0.66
33.95,50.30,50.20,16.80,0.50,0.67
34.04,49.50,50.20,16.80,0.50,0.67
34.14,49.40,50.20,16.80,0.50,0.67
34.24,49.90,50.20,16.80,0.50,0.67
34.34,50.30,50.20,16.80,0.50,0.67
34.45,49.90,50.21,16.79,0.50,0.67
34.55,50.70,50.22,16.78,0.50,0.67
34.65,50.70,50.23,16.77,0.50,0.67
34.75,49.80,50.24,16.76,0.50,0.67
34.85,49.90,50.25,16.75,0.50,0.67
34.96,50.30,50.27,16.73,0.50,0.67
35.05,49.50,50.28,16.72,0.50,0.68
35.15,49.50,50.29,16.71,0.50,0.68
35.25,49.40,50.30,16.70,0.50,0.68
35.35,50.30,50.31,16.69,0.50,0.68
35.45,49.90,50.32,16.68,0.50,0.68
35.56,49.40,50.32,16.68,0.50,0.68
35.66,49.50,50.31,16.69,0.50,0.68
35.76,50.30,50.31,16.69,0.50,0.68
35.86,49.90,50.30,16.70,0.50,0.68
35.97,50.30,50.29,16.71,0.50,0.68
36.06,50.30,50.27,16.73,0.50,0.68
36.16,49.90,50.25,16.75,0.50,0.68
36.26,50.30,50.23,16.77,0.50,0.68
36.36,49.90,50.21,16.79,0.50,0.69
36.47,49.40,50.18,16.82,0.50,0.69
36.57,46.90,50.16,16.84,0.50,0.69
36.67,49.90,50.13,16.87,0.50,0.69
36.77,49.00,50.11,16.89,0.50,0.69
36.87,49.80,50.08,16.92,0.50,0.69
36.98,49.50,50.06,16.94,0.50,0.69
37.07,50.30,50.04,16.96,0.50,0.69
37.17,49.40,50.03,16.97,0.50,0.69
37.27,49.00,50.01,16.99,0.50,0.69
37.37,49.80,50.00,17.00,0.50,0.69
37.48,49.40,49.99,17.01,0.50,0.69
37.58,49.90,49.98,17.02,0.50,0.69
37.68,49.90,49.97,17.03,0.50,0.69
37.78,49.40,49.97,17.03,0.50,0.69
37.88,49.00,49.96,17.04,0.50,0.69
37.99,49.50,49.95,17.05,0.50,0.69
38.08,49.90,49.94,17.06,0.50,0.70
38.18,49.00,49.93,17.07,0.50,0.70
38.28,49.90,49.92,17.08,0.50,0.70
38.38,49.40,49.91,17.09,0.50,0.70
38.48,49.40,49.90,17.10,0.50,0.70
38.59,49.50,49.88,17.12,0.50,0.70
38.69,49.80,49.86,17.14,0.50,0.70
38.79,49.90,49.84,17.16,0.50,0.70
38.89,49.00,49.82,17.18,0.50,0.70
39.00,49.50,49.79,17.21,0.50,0.70
39.09,49.00,49.77,17.23,0.50,0.70
39.19,49.00,49.74,17.26,0.50,0.70
39.29,49.50,49.72,17.28,0.50,0.70
39.39,49.90,49.70,17.30,0.50,0.70
39.49,49.90,49.67,17.33,0.50,0.70
39.60,49.90,49.65,17.35,0.50,0.70
39.70,49.50,49.63,17.37,0.50,0.70
39.80,49.10,49.61,17.39,0.50,0.70
39.90,50.30,49.60,17.40,0.50,0.71
40.01,49.40,49.58,17.42,0.50,0.71
40.10,48.60,49.57,17.43,0.50,0.71
40.20,49.50,49.56,17.44,0.50,0.71
40.30,48.70,49.55,17.45,0.50,0.71
40.40,49.40,49.55,17.45,0.50,0.71
40.51,49.90,49.54,17.46,0.50,0.71
40.61,49.10,49.54,17.46,0.50,0.71
40.71,49.90,49.53,17.47,0.50,0.71
40.81,49.50,49.53,17.47,0.50,0.71
40.91,49.00,49.53,17.47,0.50,0.71
41.02,49.90,49.53,17.47,0.50,0.71
41.11,47.80,49.53,17.47,0.50,0.71
41.21,49.90,49.53,17.47,0.50,0.71
41.31,49.50,49.53,17.47,0.50,0.72
41.41,49.50,49.53,17.47,0.50,0.72
41.52,48.60,49.53,17.47,0.50,0.72
41.62,49.50,49.53,17.47,0.50,0.72
41.72,49.10,49.53,17.47,0.50,0.72
41.82,49.50,49.53,17.47,0.50,0.72
41.93,49.90,49.53,17.47,0.50,0.72
42.02,49.90,49.52,17.48,0.50,0.72
42.12,48.20,49.52,17.48,0.50,0.72
42.22,47.80,49.52,17.48,0.50,0.72
42.32,49.40,49.51,17.49,0.50,0.72
42.42,48.60,49.51,17.49,0.50,0.72
42.52,48.60,49.50,17.50,0.50,0.72
42.63,49.50,49.49,17.51,0.50,0.73
42.73,48.20,49.49,17.51,0.50,0.73
42.83,48.20,49.48,17.52,0.50,0.73
42.94,49.40,49.47,17.53,0.50,0.73
43.03,48.60,49.47,17.53,0.50,0.73
43.13,48.20,49.46,17.54,0.50,0.73
43.23,49.40,49.45,17.55,0.50,0.73
43.33,49.90,49.44,17.56,0.50,0.73
43.43,48.70,49.43,17.57,0.50,0.73
