millis,dist_raw,dist_filtered,water_height,setpoint,pid_val
1417,49.10,-0.34,67.34,0.50,0.00
1518,49.00,-0.13,67.13,0.50,0.00
1619,49.10,0.19,66.81,0.50,0.00
1720,49.10,0.66,66.34,0.50,0.00
1821,49.10,1.28,65.72,0.50,0.00
1922,49.10,2.08,64.92,0.50,0.00
2033,49.10,3.08,63.92,0.50,0.00
2124,49.10,4.27,62.73,0.50,0.00
2225,49.00,5.67,61.33,0.50,0.00
2326,49.10,7.28,59.72,0.50,0.00
2427,49.00,9.10,57.90,0.50,0.00
2528,49.00,11.10,55.90,0.50,0.00
2629,49.10,13.28,53.72,0.50,0.00
2730,49.10,15.60,51.40,0.50,0.00
2831,49.50,18.05,48.95,0.50,0.00
2932,49.10,20.59,46.41,0.50,0.00
3043,49.10,23.19,43.81,0.50,0.00
3134,49.10,25.81,41.19,0.50,0.00
3235,49.00,28.41,38.59,0.50,0.00
3336,49.10,30.95,36.05,0.50,0.00
3437,49.10,33.40,33.60,0.50,0.00
3538,49.10,35.74,31.26,0.50,0.00
3639,49.10,37.92,29.08,0.50,0.27
3740,49.00,39.93,27.07,0.50,0.30
3841,48.70,41.75,25.25,0.50,0.32
3942,48.70,43.37,23.63,0.50,0.34
4053,48.70,44.78,22.22,0.50,0.36
4144,48.70,45.98,21.02,0.50,0.38
4245,48.70,46.99,20.01,0.50,0.39
4346,48.70,47.79,19.21,0.50,0.40
4447,48.70,48.43,18.57,0.50,0.41
4548,48.70,48.90,18.10,0.50,0.42
4649,48.70,49.23,17.77,0.50,0.42
4750,48.70,49.45,17.55,0.50,0.43
4851,48.70,49.57,17.43,0.50,0.43
4952,48.70,49.62,17.38,0.50,0.43
5063,48.70,49.61,17.39,0.50,0.43
5154,48.70,49.56,17.44,0.50,0.43
5255,48.70,49.49,17.51,0.50,0.43
5356,48.70,49.42,17.58,0.50,0.43
5457,48.70,49.34,17.66,0.50,0.43
5558,48.70,49.27,17.73,0.50,0.43
5659,48.70,49.21,17.79,0.50,0.43
5760,48.70,49.16,17.84,0.50,0.43
5861,48.70,49.13,17.87,0.50,0.43
5962,48.70,49.10,17.90,0.50,0.43
6073,48.70,49.08,17.92,0.50,0.43
6164,48.70,49.07,17.93,0.50,0.43
6265,48.70,49.05,17.95,0.50,0.44
6366,48.70,49.04,17.96,0.50,0.44
6467,48.70,49.02,17.98,0.50,0.44
6568,48.70,49.00,18.00,0.50,0.44
6669,48.60,48.98,18.02,0.50,0.44
6770,48.70,48.96,18.04,0.50,0.44
6871,48.70,48.94,18.06,0.50,0.44
6972,48.70,48.91,18.09,0.50,0.44
7083,48.70,48.89,18.11,0.50,0.44
7174,48.60,48.87,18.13,0.50,0.44
7275,49.10,48.85,18.15,0.50,0.44
7376,48.70,48.83,18.17,0.50,0.44
7477,48.70,48.82,18.18,0.50,0.44
7578,48.60,48.80,18.20,0.50,0.44
7679,49.10,48.78,18.22,0.50,0.44
7780,48.70,48.77,18.23,0.50,0.44
7881,49.10,48.76,18.24,0.50,0.44
7982,48.60,48.75,18.25,0.50,0.44
8093,48.70,48.74,18.26,0.50,0.44
8184,48.70,48.74,18.26,0.50,0.45
8285,48.70,48.73,18.27,0.50,0.45
8386,48.70,48.73,18.27,0.50,0.45
8487,48.70,48.72,18.28,0.50,0.45
8588,48.70,48.72,18.28,0.50,0.45
8689,48.70,48.72,18.28,0.50,0.45
