millis,flow
0.00,530.91,-0.03
0.10,0.00,-0.26
0.30,0.00,-0.63
0.51,0.00,-0.93
0.71,0.00,-0.79
0.91,0.00,0.20
1.11,0.00,2.42
1.31,0.00,6.16
1.51,0.00,11.48
1.72,0.00,18.19
1.92,0.00,25.83
2.12,0.00,33.74
2.32,1.82,41.11
2.52,7.27,47.10
2.63,5.45,51.01
2.83,9.09,52.37
3.03,9.09,50.99
3.23,10.91,47.07
3.43,10.91,41.08
3.64,10.91,33.75
3.84,9.09,25.93
4.04,9.09,18.46
4.24,12.73,12.03
4.44,10.91,7.12
4.65,9.09,3.93
4.85,12.73,2.38
5.05,10.91,2.20
5.25,12.73,2.95
5.45,12.73,4.20
5.66,10.91,5.54
5.86,12.73,6.70
6.06,12.73,7.59
6.26,14.55,8.36
6.46,12.73,9.01
6.67,12.73,9.55
6.87,14.55,9.97
7.07,12.73,10.31
7.27,12.73,10.58
7.47,14.55,10.81
7.68,14.55,11.02
7.88,12.73,11.23
8.08,14.55,11.45
8.28,14.55,11.66
8.48,16.36,11.89
8.69,14.55,12.10
8.89,14.55,12.31
9.09,16.36,12.50
9.29,14.55,12.68
9.49,16.36,12.85
9.70,14.55,13.01
9.90,16.36,13.16
10.10,16.36,13.31
10.30,14.55,13.47
10.50,16.36,13.63
10.71,16.36,13.80
10.91,16.36,13.98
11.11,14.55,14.16
11.31,16.36,14.33
11.51,18.18,14.51
11.72,16.36,14.68
11.92,16.36,14.83
12.12,16.36,14.97
